Step:  13900, loss: 0.00304856, accuracy: 100.00%, time:3.53s, time left: 0.01hours
Step:  14000, loss: 0.00943708, accuracy: 100.00%, time:3.45s, time left: 0.01hours
Step:  14100, loss: 0.09120709, accuracy: 92.87%, time:3.64s, time left: 0.01hours
Step:  14200, loss: 0.06076602, accuracy: 96.44%, time:3.45s, time left: 0.01hours
Step:  14300, loss: 0.16584182, accuracy: 92.87%, time:3.48s, time left: 0.01hours
Step:  14400, loss: 0.01435138, accuracy: 100.00%, time:3.52s, time left: 0.01hours
Step:  14500, loss: 0.00691622, accuracy: 100.00%, time:3.57s, time left: 0.00hours
Step:  14600, loss: 0.00701840, accuracy: 100.00%, time:3.55s, time left: 0.00hours
Step:  14700, loss: 0.00469128, accuracy: 100.00%, time:3.49s, time left: 0.00hours
Step:  14800, loss: 0.00505469, accuracy: 100.00%, time:3.48s, time left: 0.00hours
Step:  14900, loss: 0.00186526, accuracy: 100.00%, time:3.47s, time left: 0.00hours
